NÁZEV;Adresa;PŘÍZNAK;Latitude;Longitude
AUDO VIKTORIA s.r.o.;Děčín XXVII-Březiny 193, 40502 Děčín 27;RINO;;
A B A U T O B O S S s.r.o.;Dukelská 2034/13, 73701 Cesky Tesin 1;RINO;;
A.D.E.X společnost s ručením omezeným;Křížová 456, 47124 Mimon;RINO;50.6505635;14.7342917
ACK AUTO KUTLIŘE s.r.o.;Kutlíře 20, Křečhoř, 28002 KOLIN;RINO;50.0346125;15.1482533
ADDOS s.r.o.;ODBORNEHO 24, 70900 OSTRAVA-HULVAKY;RINO;;
ADIP - České Budějovice;Pekárenská 54, 370 04 České Budějovice;RINO;48.9815433;14.4934122
Adip - Rumburk;Lesní 1111/3, 40801 RUMBURK;RINO;50.9514477;14.5410388
Adip - Sokolov;Kališnická 2250, 35601 SOKOLOV;RINO;50.1719903;12.6451720
Adip CZ - KRNOV;Albrechtická 1787/121, 79401 KRNOV;RINO;50.0996400;17.6740913
ADIP s.r.o. - Louny;Poděbradova 578, 440101 Louny;RINO;50.3512082;13.7971092
ADIP s.r.o. - Mlada Boleslav;K Podchlumí 1390, 29301 Mlada Boleslav;RINO;50.4021563;14.9050125
ADIP, spol. s r.o.;Pod Nádražím 1204, 28601 Čáslav;RINO;49.9141264;15.4009705
ADIP, spol. s r.o.;Koutníkova 272, 503 01 HRADEC KRÁLOVÉ;RINO;50.2258807;15.7999529
ADIP, spol. s r.o.;Žerotínova 63, 78701 ŠUMPERK;RINO;49.9532619;16.9805684
ADIP, spol. s r.o. - Brno;Škrobárenská 484/8, 61700 BRNO;RINO;49.1843003;16.6244958
ADIP, spol. s r.o. - Brno - Nova;Pražákova 51 (areál Toboga Bongo),, 619 00 BRNO;RINO;;
Adip, spol. s r.o. - Teplice;Novosedlická 394, 41501 Teplice;RINO;50.6474938;13.8216407
ADIP, spol. s r.o. - Valašské Meziřičí;Podlesí 522 ( vjezd do areálu MORAVA OKNO ), 757 01 Valašské Meziřičí;RINO;;
Adip, spol. s r.o. - Zlín;Březnice 537, 76001 Zlín;RINO;49.1868025;17.6618388
Adip, spol. s r.o. - Zlín;Březnická 537, 76001 Zlín;RINO;49.2091698;17.6604722
Adip, spol. s r.o.- Jihlava;Znojemská 80 D, 58601 Jihlava;RINO;49.3841094;15.5910529
Adip, spol. s.r.o. - Plzeň;Republikánská 2, 31200 Plzeň;RINO;49.7467299;13.4072875
Adip, spol. s.r.o. - Ústí nad Labem;Žižkova 703/72, 400 01 Ústí nad Labem;RINO;50.6517909;14.0184882
ADIP, spol.s r.o.;Žerotínova 63, 78701 ŠUMPERK;RINO;49.9532619;16.9805684
Adip, spol.s.r.o.;Místecká 126/256, 720 00 Ostrava;RINO;49.7809483;18.2702768
Adip,spol s.r.o. - Liberec;Dr. M. Horákové 185/66, 46007 Liberec;RINO;50.5306642;15.3648531
Adosa a.s.;Zastávecká 1030, 66501 Rosice;RINO;49.1843798;16.3709656
AGROAD s.r.o.;Blanenská 1338/97, 66434 KUŘIM;RINO;49.3155871;16.5445681
AGROTEC a.s.;Událnice 2, 093 01 HUSTOPEČE;RINO;;
Aktivtrans s.r.o;Zahradní 173/2, 32600 Plzen 26;RINO;;
Alexandr Šmerda;Pražská 330, 26712 Loděnice;RINO;49.9987669;14.1648788
Alfa parts, s.r.o.;Panelová 955, 50003 Hradec Kralove 3;RINO;;
Alfa parts, s.r.o.;Panelová 955, 50003 Hradec Kralove 3;RINO;;
ALL4TRUCKS;Jihlavská 320/2, 66441 Troubsko;RINO;49.1762175;16.5111537
ALLPLUGS s.r.o.;Tř. T. Bati 829 (SILO II), 76001 Zlín;RINO;;
ARONAX TECHNIC, s.r.o.;KŘOVÍ 81, 59454 KŘOVÍ;RINO;49.3090421;16.2590989
Arriva Services a.s.;Masarykova 549, 26801 Hořovice;RINO;49.8324500;13.8840200
Arriva services a.s.;Pod Hájem 97, 26701 Králův Dvůr;RINO;49.9495934;14.0380557
Arriva Services a.s.;Příbramská 1903, 26301 DOBŘIŠ;RINO;49.7765901;14.1669578
Arriva Services a.s.;Boleslavská 98/6, 29306 Kosmonosy;RINO;50.4336351;14.9271563
Arriva Services a.s.;U Stavoservisu 692, 10800 Praha 108;RINO;;
ARRIVA Services, a.s.;K Podlesí 540, 261 01 Příbram VI-Březové Hory;RINO;;
AUTO HELUS s.r.o.;Dělnická 164, 43401 Most;RINO;50.4833216;13.6391507
Auto Kopta s.r.o.;Drážďanská 44, 40007 Usti nad Labem 7;RINO;;
Auto Lovers s.r.o.;Žižkova 703/72, 400 01 Ústí nad Labem;RINO;50.6517909;14.0184882
AUTO-GAPAS,s.r.o.;Polepská 867, 28002 Kolín - Kolín IV;RINO;50.0172943;15.2072052
Auto-Gazda CZ;Strojnická 398, 73562 Český Těšín;RINO;49.7489914;18.5994182
AUTOCENTRUM HÁJEK, spol. s r.o.;Lžovická 301, 28126 Tynec nad Labem;RINO;50.0393039;15.3534983
AUTODILY DUFEK s.r.o.;K ZELENČI 12, 19300 PRAHA 9;RINO;50.1228994;14.6285108
Autodíly Kočí s.r.o.;Šimanovská 1233, 19800 Praha 14 - Kyje;RINO;;
AUTODOPRAVA David Műller;Masty 35, 51801 Dobruška - MASTY;RINO;;
Autodoprava EL+EM s.r.o.;Prumyslová 3602, 58001 Havličkuv Brod;RINO;49.5914467;15.5912279
Autodoprava Roman PAVEL;Čapkova 377, 26712 Loděnice U Berouna;RINO;49.9977201;14.1645788
Autodoprava Stuchlý, s.r.o.;Oderská 832, 74213 Studenka 3;RINO;;
Autohofi;Za Nádražím, 436, 51741 Kostelec nad Orlicí;RINO;50.1146208;16.2270670
AUTOOPRAVNA K+K s.r.o.;Bezručova 863, 55203 Česká Skalice;RINO;50.3885863;16.0327850
Autoopravna Tuček;Dražkovice 164, 533 33 Pardubice;RINO;49.9976862;15.7723425
AUTOPEPR;Družstevní 72a, 25065 Líbeznice;RINO;50.1944656;14.4916255
AUTOROZVODY s.r.o.;Hradecká, 53401 Holice - Holice;RINO;50.0727766;15.9834312
Autos - Slušovice;K Teplinám 625, 763 15 Slušovice;RINO;49.2445410;17.7971106
AUTOS CZ;Tovární 884, 68603 Staré Město;RINO;49.0785326;17.4274050
AUTOS CZ - Dalovice;Botanická 263, 362 63 Dalovice;RINO;50.2520562;12.8907722
Autos CZ - Havíŕov;Dělnická 829/60, 735 64 Havířov - Prostřední Suchá;RINO;49.7905496;18.4434054
AUTOS Czech Republic, s.r.o.;Dolní Novosadská 429/85, 78301 Olomouc;RINO;49.5620805;17.2627185
AUTOS Czech Republic, s.r.o. - Litomyšl;Trstěnická 932, 57001 Litomyšl;RINO;49.8610788;16.3262763
AUTOS CZECH REPUBLIK,s.r.o.;ŠŤÁRALKA, 28002 KOLIN;RINO;50.0253511;15.2144986
Autos spol s.r.o. pobočka Hrušky;Polní 566, 69156 Hrušky - Břeclav;RINO;48.7959225;16.9621375
Autos Šenov;Václavovická 1566, 73934 Šenov;RINO;49.7734442;18.3666219
AUTOS ŠUMPERK;ul. Uničovská 370/19, 78701 Sumperk 1;RINO;;
AUTOSERVIS AUGUSTIN HRONEK;Heydukova 314, 38601 STRAKONICE;RINO;49.2593829;13.9214352
Autoservis Dušek;Zhoř u Tábora 74, 39002 Tabor 2;RINO;;
AUTOSERVIS Kepka s.r.o.;Luční 422, 33008 Zruc-Senec;RINO;49.8060400;13.4306013
Autoservis Kolář-Vaněk s.r.o.;Jiráskovo předměstí 630, 37701 Jindrichuv Hradec 1;RINO;;
Autoservis Kovalík Říha;Dobrovodská 2284, 370 06 České Budějovice;RINO;48.9717639;14.5114776
Autoservis Kramarczyk s.r.o.;K Panelárně 387, 36001 Otovice;RINO;50.2549119;12.8799996
Autoservis Milan Došek;Miranova 10, 10200 Praha;RINO;50.0546624;14.5295623
Autoservis N&N;Krouna 124, 53943 KROUNA;RINO;49.7667464;16.0283818
AUTOSERVIS Szturc a Kuhn s.r.o.;Č. S . Armády 184, 73581 Bohumín;RINO;;
BM motors s.r.o.;U Továren 31, 10200 Praha 10;RINO;50.0580035;14.5444159
BPW spol - Brno;Tyršova 1183, 66442 Brno - Modřice;RINO;49.1354194;16.5993051
BPW, Spol s.r.o. - Dašice;nám. T. G. Masaryka 20, 53303 Dašice;RINO;50.0283113;15.9133088
BPW, spol. s r.o. - České Budějovice;Novohradská 736/36, 37001 České Budějovice;RINO;48.9641540;14.4873576
BRZDY CZ s.r.o.;5. května 1356, 470 01 Česká lípa;RINO;50.6742031;14.5378037
BusLine Technics s.r.o.;Na Závisti 1439, 508 01 Hořice;RINO;50.3607829;15.6270796
BW Truck s.r.o;Plzeňská 64, 33022 Zbuch;RINO;49.6775163;13.2240225
BW Truck s.r.o.;Karla Hynka Machy 766, 33023 Nyrany;RINO;49.7137951;13.1976063
CAR TOUR spol.;Pohřebačka 182, 53345 Opatovice nad Labem;RINO;50.1586338;15.7787375
Car-mont s.r.o.;Gen. Svatoně 729, 56601 Vysoké Mýto;RINO;49.9453607;16.1567272
CDS Náchod s.r.o.;Kladská 286, 54701 NÁCHOD;RINO;50.4187588;16.1721300
CN SERVIS,spol.s r.o.;Kosmova 1126/17, 702 00 OSTRAVA;RINO;49.8554379;18.2775108
Comett plus, spol. s r.o.;Chýnovská 2115, 39002 Tábor;RINO;49.4087826;14.6903288
CZ EU Trading s.r.o;Bystrá 2430, 19300 Horní Počernice Praha 9;RINO;50.1141779;14.6011101
České automobilové opravny s.r.o.;Libušinka 468, 541 01 Trutnov 1;RINO;;
ČKR autodíly s.r.o.;Trocnovská 492/23, 70200 Ostrava;RINO;49.8534203;18.2775122
ČSAD MHD Kladno a.s.;Železničářů 885, 27201 Kladno - Kročehlavy;RINO;50.1298742;14.1035477
ČSAD Uherské Hradiště;Malinovského 874, 68601 Uherské Hradiště;RINO;49.0595750;17.4661638
ČSAD Uherské Hradiště;Malinovského 874, 68601 Uherské Hradiště;RINO;49.0595750;17.4661638
Damotrans s.r.o;U Dlouhoňovic 1397, 56401 Zamberk;RINO;50.0742902;16.4416488
DANIMEX CZ s.r.o.;Kaštanová 34, 62000 Brno 20;RINO;;
David Antoš;K Hájům 3056/5a, 15500 Praha;RINO;50.0581462;14.3203673
David Banda;U Mexika 1310, 33023 Nýřany;RINO;49.7082688;13.2244538
DHL (PPL sprint);Na Zastávce 361, 76321 Slavičín;RINO;49.0906463;17.8843538
Dílyexpert S.R.O;Vít. Nezvala 754, 27204 Kladno;RINO;50.1459756;14.0711712
Dohradevelopment s.r.o.;Smečenská 381, 272 04 Kladno - Rozdělov;RINO;50.1410363;14.0661925
DoldaTrans s.r.o.;Starozuberská 1459, 75654 Zubří;RINO;49.4767389;18.0948068
Donek - N;Magisterská 3014/4, 30100 Plzeň;RINO;49.7281148;13.3548112
DOPES, s.r.o.;Benešov 185, 67953 Benešov;RINO;49.5177616;16.7783832
Dorbas Fryštak;Zlínská 396, 76316 Fryšták;RINO;49.2795226;17.6841513
Dorbas s.r.o.;Hradecká 2714/68, 74601 Opava 1;RINO;;
DSV - PŘíBRAM;Pražská 711, 26301 DOBRÍŠ;RINO;49.7911983;14.1852036
DSV PRÍBRAM s.r..o.;K Podlesí 539, 26101 Pribram 1;RINO;;
E.M.T. spol. s r.o.;Modletice 134, 25101 Ricany;RINO;;
E.M.T. spol. s r.o.;Modletice 134, 25101 Ricany;RINO;;
E.M.T. spol s.r.o. - HRADEC KRÁLOVÉ;Kladská 1082/67, 50003 HRADEC KRÁLOVÉ;RINO;50.2240904;15.8764808
E.M.T. spol. Liberec;Jeronymova 62/24 vchdo do HC Arény, 46007 LIBEREC 7;RINO;;
E.M.T. spol. s r.o. - PLZEŇ;Písecká 1307/19, 32600 PLZEŃ;RINO;49.7056739;13.4256358
Edel Unit s.r.o.;Nerudova 29, 78701 ŠUMPERK;RINO;49.9607356;16.9670423
Eduard Oslejšek;Valcířská 457, 73801 Frydek-Mistek 1;RINO;;
EichlerBUS s.r.o.;Benešovská 45 , 257 26 Divišov;RINO;49.7910250;14.8686838
EUROPART CZ s.r.o.;K bílému vrchu 2912/3, 19300 Praha 9;RINO;50.1241478;14.6256609
EUROPART CZ s.r.o.;Vintrovna 208/23, 664 41 Popůvky;RINO;49.1821338;16.4858400
EUROPART CZ s.r.o.;Domažlická 138/1179, 31800 Plzeň 3;RINO;;
EUROPART CZ s.r.o.;Za Tratí (hala D) 236, 25219 Chrášťany u Prahy;RINO;;
EUROPART CZ s.r.o. - ČESKÉ BUDĚJOVICE;Pekárenská 746/79a, 370 04 České Budějovice;RINO;48.9828173;14.4945060
EUROPART CZ s.r.o. - Opatovice nad Labem;Vesna 306, 53001 Opatovice nad Labem;RINO;;
FAST Intergration, s.r.o.;Vikýřovicka 1806, 78701 ŠUMPERK;RINO;49.9581469;16.9937428
FAST Intergration, s.r.o.;Vikýřovicka 1806, 78701 ŠUMPERK;RINO;49.9581469;16.9937428
Filip Lattenberg;Drnovice 433, 67976 Drnovice u Lysic;RINO;49.4681048;16.5411510
František Jelínek;Smetanova 758, 34201 Sušice;RINO;49.2382461;13.5172682
František MELICHAR;Nádražní, 510, 26724 Hostomice;RINO;49.8321975;14.0495088
František Vítek;Znojemská 82 b, 586 01 Jihlava;RINO;49.3829529;15.5905592
FreshLine s.r.o.;Zlechov 119, 68710 Zlechov;RINO;49.0752305;17.3872186
Gama Kladno - Malešice;Tiskářská 12 Areál Stazap, 10800 Praha 10 - Malešice;RINO;;
GAMA KLADNO s.r.o;ŘÍPSKA 13, 62700 BRNO;RINO;49.1770331;16.6758090
GAMA Kladno s.r.o.;KLadenská 114, 27343 Bustehrad;RINO;50.1541961;14.1885058
Gama Kladno s.r.o. - Praha;Tiskářská 12, 10800 Praha 10 - Malešice;RINO;50.0789536;14.5368049
GTR-CZ s.r.o.;Purkrabská 10, 10200 Praha;RINO;50.0538594;14.5300280
GW Jihotrans, a.s. - dílna autobusy;Pekárenská 255/77, 370 04 České Budějovice;RINO;48.9822653;14.4926793
H + D kovo, s.r.o.;Hlavní 27/77, 66431 LELEKOVICE;RINO;49.2905508;16.5765205
H+D kovo, s.r.o.;Hlavní 27/77, 66431 Lelekovice;RINO;49.2905508;16.5765205
Hájek autodíly;Podolská 119/7, 66451 Šlapanice;RINO;;
Heřman Binder;Olomoucká 1 , 56802 Svitavy 2;RINO;;
Hofmeister & Meincke s.r.o.;Za Viaduktem 429, 40001 Ústí nad Labem;RINO;50.6534348;13.9966600
Horáček, s.r.o.;Na Výsluní 622, 43981 Kryry okr. Louny;RINO;;
Hubatka servis;Výpadová 1715, 15300 Praha 5, Radotín;RINO;49.9931892;14.3786179
HUSTÁK servisní, s.r.o.;Znojemská 839/80, 58601 Jihlava;RINO;49.3851488;15.5931207
Ing. Jiří Smola;Čs. Armády 379, 250401 Jílové u Prahy;RINO;49.8943088;14.4998663
Ing. Vladimír Matoušek;Lom u Tachova 103, 34701 Tachov;RINO;49.8168930;12.6895808
Inka Trávníčková;Nová 974/8, 66434 KUŘIM;RINO;49.3029413;16.5267950
INTER CARS CZ - BENEŠOV;Křížikova, areál DEK Trade 1590, 25601 Benešov;RINO;;
Inter Cars CZ - Opava;Těšínská 30, 74601 Opava;RINO;49.9348826;17.9124738
Inter Cars CZ - ŘÍČANY;U Sanitasu 1621, 25101 Ricany;RINO;50.0050539;14.6526423
Inter Cars CZ - Ústí nad Labem;Hoření 2472/14, 400 11 Ústí nad Labem;RINO;50.6718989;14.0405770
Inter Cars Česká republika - Chomutov;Na Moráni 4878, 43001 CHOMUTOV;RINO;50.4447654;13.4157408
Inter Cars Česká republika s.r.o Vestec u Prahy;VÍDEŇSKÁ,areál SHELL 343, , 25242 VESTEC U PRAHY;RINO;;
Inter Cars Česká republika s.r.o.;Dr. Edvarda Beneše , 391 01 Sezimovo Ústí;RINO;49.3801020;14.6935085
Inter Cars Česká republika s.r.o.;Lnářská 1654, 39601 Humpolec;RINO;49.5359255;15.3491332
Inter Cars Česká republika s.r.o.;Průmyslová 829, 29306 Kosmonosy;RINO;50.4305100;14.9337408
Inter Cars Česká republika s.r.o.;Areál A1 park, 66431 Lelekovice;RINO;;
Inter Cars Česká republika s.r.o.;Průmyslová 1073, 391 11 Planá nad Lužnicí;RINO;49.3682832;14.6998934
Inter Cars Česká republika s.r.o.;Dubská 1635, 415 01 Teplice;RINO;50.6489290;13.8159108
Inter Cars Česká republika s.r.o. - Brno;Podolí 475, 664 03 Podolí u Brna;RINO;49.1902597;16.7150741
Inter Cars Česká republika s.r.o. - České Budejovice;Okružní 2615, 37001 České Budějovice;RINO;49.0002292;14.4911244
Inter Cars Česká republika s.r.o. - Dolní Chabry;Dopraváku 749/3, 184 00 Praha 8 - Dolní Chabry;RINO;50.1378113;14.4505932
Inter Cars Česká republika s.r.o. - Frýdek Místek;Národních mučedníků 499, 73801 Frýdek-Místek;RINO;49.6830038;18.3641113
Inter Cars Česká republika s.r.o. - Jičín;Textilní 1273, 50601 Jičín;RINO;50.4294230;15.3687361
Inter Cars Česká republika s.r.o. - Kolín;Havlíčkova 884, 28002 Kolín;RINO;50.0153251;15.2216510
Inter Cars Česká republika s.r.o. - Kolín;Nebovidská 227, 28000 Kolín;RINO;50.0108484;15.2224566
Inter Cars Česká republika s.r.o. - Ostrava;Vratimovská 659, 71800 Ostrava;RINO;49.8066776;18.3048338
Inter Cars Česká republika s.r.o. - Pardubice;Generála Svobody 339, 533 51 Pardubice - Rosice nad Labem;RINO;50.0437711;15.7427088
Inter Cars Česká republika s.r.o. - Praha 5;Za Mototechnou 1375/7, 155 00 Praha 5 - Stodůlky;RINO;50.0583406;14.3270495
Inter Cars Česká republika s.r.o. - SVITAVY;Dimitrovova 1963/31, 56802 Svitavy - Předměstí;RINO;49.7538429;16.4622232
Inter Cars Česká republika s.r.o. - Šenov;Jeremenkova 9, 74242 Šenov u Nového Jičína;RINO;49.6002072;18.0085202
Inter Cars Česká republika s.r.o. - Velké Meziříčí;Pod Strání 2265, 594 01 Velké Meziříčí;RINO;49.3488792;16.0189044
Inter Cars Strakonice;Písecká 1334, 386 01 Strakonice;RINO;49.2689092;13.9187032
INTERCONEX AUTO s.r.o.;Slovanská alej /24, 32600 Plzen 26;RINO;;
J&J Parts, s.r.o.;Mírová 574/8, 46001 LIBEREC;RINO;50.7737818;15.0375984
Jan Liška;Havlíčkova 23, 26203 Nový Knín;RINO;49.7867730;14.2963285
Jan Roubíček - TRUCKOBCHOD;Minkovická 55, 46312 LIBEREC;RINO;50.7194488;15.0558475
Jan Stodola;Boženy Němcové 856, 34022 Nyrsko;RINO;49.2860277;13.1341046
Jana Rejmonová;Rovná 407, 27732 Byšice;RINO;50.3120163;14.6047250
JAPARCAR autobusy , s.r.o.;Místecká 803, 74401 Frenšát pod Radhoštěm;RINO;;
JAROMIR JANOTA AUTOSERVIS;SKLADOVA 4, 32600 Plzeň;RINO;49.7261724;13.4081060
JAROMIR JANOTA AUTOSERVIS;SKLADOVA 4, 32600 Plzeň;RINO;49.7261724;13.4081060
Jaromír Major;Hamry 66, 53901 Hlinsko;RINO;;
Jaroslav Prudký;Měděnecká 17, 18400 Praha 8;RINO;50.1499511;14.4463542
Jaroslav Vaníček;Dobrá (areál VÚHŽ) 240, 739 51 Dobrá;RINO;;
Jaroslava Vindišová;Krašlovice 40, 389 01 Vodňany;RINO;;
Jednota Družstvo spotřebitelu v Kaplici;Kaplice - nádraží 86, 38242 Střítež;RINO;48.7759847;14.4661948
JF Servis s.r.o.;Areál ZD 1, 66467 Syrovice;RINO;;
Jindřich Sieklík;Zahnašovice 132, 76901 Holesov;RINO;;
Jiří Batlička;Úžice 297, 27745 Úžice ,okres Mělník;RINO;50.2580978;14.3761630
Jiří Jehlička - AUTOOPRAVNA;Kunčíce nad Labem 25, 54361 Kunčice nad Labem;RINO;50.5789657;15.6341813
Jiří Kašpar;areál I.P.P.E., Dýšina 297, č. dílny 34 - 36, 33002 Dysina;RINO;;
Jiří Linc;Hředle 30 u Rakovníka 27008, 27008 Hředle;RINO;;
Jiří Štengl;Holeková 249, 25092 Šestajovice;RINO;50.1018125;14.6781875
Jiří Štengl;Ke Kablu 7 areal Kovošrot (volať od brány), 10200 Praha;RINO;;
Jiří Toman - výstavba, opravy silnic a cest;Pod Zámečkem 95/1, 18400 Praha 8;RINO;50.1500127;14.4402001
JLT TRUCK SERVIS s.r.o.;Tymákov 249, 33201 Tymákov;RINO;49.7185657;13.4972889
JP Pneu, s.r.o;Říkov 264, 55203 ČESKÁ SKALICE;RINO;;
JTB MOTO-CARS s.r.o;Spojenecká 639/20, 41501 Teplice;RINO;50.6448592;13.8244090
KAHOX auto s.r.o.;Žižkova 2840/1, 78701 ŠUMPERK;RINO;49.9706242;16.9752863
KAMAS TRUCK s.r.;Masarykova 802, 75701 Valašské Meziřičí;RINO;49.4877958;17.9628050
KAROP, s,r,o.;U Pivovaru 17, 76317 LUKOV U ZLÍNA;RINO;49.2921713;17.7377488
KDP Dublovice;Dublovice 267, 26251 Dublovice;RINO;49.6758429;14.3544299
KODE CB;Rudolfovská tř. 574/170a, 37001 České Budějovice;RINO;48.9842194;14.5162705
Komersia West s.r.o.;U Mexika 1310, 33023 Nýřany;RINO;49.7082688;13.2244538
Konrád Niesner N.D. Avia;U Řeky 680, 72000 Ostrava 20-Hrabová;RINO;;
Košíkovic jídelna;Pražská 251, 56601 Vysoké Mýto;RINO;49.9547774;16.1583554
Ladislav Bulant;Otakara Jeremiáše 2155, 39701 PÍSEK;RINO;49.3110884;14.1629947
Lenka Bělová;Zápy 253, 25001 Zápy;RINO;50.1679892;14.6776111
LICHNOVSKÝ s.r.o.;Dělnická 831/81, 74221 Kopřivnice;RINO;49.6080163;18.1558963
LIKAMA s.r.o.;ŽEROTINOVA 923/43, 78701 ŠUMPERK;RINO;49.9582659;16.9759804
Lindinex s.r.o.;Souběžná 791, 25168 Sulice;RINO;49.9300444;14.5574618
LK auto - Linhart;Rosická 1, 602 00 BRNO;RINO;49.1831165;16.6155721
LKQ CZ - BEROUN;Plzeňská 67, 267 01 Beroun;RINO;49.9411276;14.0254525
LKQ CZ - JIHLAVA;Brněnská 68, 58601 JIHLAVA;RINO;49.3971376;15.6067913
LKQ CZ - Náchod;Běloveská 944, 54701 NÁCHOD;RINO;50.4175138;16.1781400
LKQ CZ - Pardubice;Pražská 875, 53006 Pardubice;RINO;50.0211659;15.7312308
LKQ CZ - Trutnov;Za Cihelnou 170, 541 01 Trutnov 1;RINO;;
LKQ CZ - Ústí nad Labem;Skorotická 784/2a, 400 01 Ústí nad Labem;RINO;50.6809843;14.0083210
LKQ CZ - Znojmo;Dobšická 3697/6, 66902 ZNOJMO;RINO;48.8531195;16.0723086
LKQ CZ a. s.;Průmyslová 862, 29301 Mlada Boleslav 1;RINO;;
LKQ CZ a.s.;Humpolecká 1576, 58001 Havlíčkuv Brod;RINO;49.6018518;15.5681769
LKQ CZ a.s.;Ústecká 860, 40502 Děčín;RINO;50.7685344;14.2071071
LKQ CZ a.s. - Kladno;Milady Horákové 2750, 27201 Kladno;RINO;50.1220012;14.1250522
